Date,Block,dexTVL,bridgeTVL,liquidStakingTVL,crowdloanTVL,LPTokenStakingTVL,stableCoinTVL,OverallTVL
2022-03-09,1611910,10236961.9891371,19725994.1755942,10343540.6339049,67117367.0596131,10225893.8620769,13544591.8212433,64076982.4819565
2022-03-10,1616357,9900504.04743791,18299797.3706143,9634859.26149239,62842662.8035203,9773595.13456346,12491198.9676914,60099954.7817994
2022-03-11,1620876,9938713.3988511,18462793.5490967,9726906.16795783,62496877.8168024,9744617.61965937,12326242.6819895,60199273.4175545
2022-03-12,1625432,9937874.09774664,18441732.4725056,9895684.63089058,62301434.1286575,9759643.22147216,8778465.73754976,56813400.1601647
2022-03-13,1629884,9582228.88703386,18116131.5446545,9700675.33774242,61218976.7789318,9568387.68845808,11976980.4604226,58944403.9183114
2022-03-14,1634405,9517275.18211356,17795025.8336346,9596840.54407988,59835836.83206,9434480.45513466,11662585.5140769,58006207.5290395
2022-03-15,1638930,9610346.33518139,18506924.5822272,9986903.22695797,62476832.310326,9569630.28651273,12033881.1135583,59707685.5444375
2022-03-16,1643457,9916991.62293106,19246130.6321101,10344356.1869554,64857236.2043987,9892837.87431206,12611340.1109002,62011656.4272087
2022-03-17,1647983,10164251.9802982,19882115.1662423,10758928.3490869,67488208.9294265,10151955.916883,13177318.3815916,64134569.794102
2022-03-18,1652652,10723778.4803122,21763377.8541044,11811108.9719429,74028055.4173527,10815316.5204769,14620780.431332,69734362.2581686
2022-03-19,1657396,10857717.7947051,21697650.8842086,11760487.5150296,73587054.2748718,10793818.3084253,14630661.3727804,69740335.8751491
2022-03-20,1662219,10805098.983014,22069929.3155498,12004244.2864288,75235797.1825559,10790571.2739547,14435960.393616,70105804.2525632
2022-03-21,1666997,10821369.9544957,22461272.1147294,12289183.5192061,77490916.6611511,10765844.6704549,14920932.4883815,71258602.7472676
2022-03-22,1671509,10996672.145832,22945240.6490555,12586512.9240767,79074511.6727869,10972352.5959516,15076642.8729668,72577421.1878825
2022-03-23,1675850,11233619.8977872,23583433.4751933,13062818.1353836,82221656.189582,11139195.7774865,15709358.1261279,74728425.4119785
2022-03-24,1680082,11210551.6011482,23562119.0466081,13021249.7826985,81961064.6053888,11102612.151211,15926434.5155379,74822967.0972036
2022-03-25,1684322,11178468.1043191,23689404.9365158,13123045.2931409,82517327.4101089,11064343.0697623,15906943.2554704,74962204.6592085
2022-03-26,1688574,11229644.5069909,23533481.624448,13049274.4512554,82607532.1892527,11065481.9370927,15887906.6381861,74765789.1579729
2022-03-27,1692713,12008613.8148612,24954498.2317422,13815146.9541527,87157862.159396,11906857.4481741,17345787.2177881,80030903.6667183
2022-03-28,1696873,11865913.2548443,24656796.6121861,13634351.3305539,86130529.9524804,11777602.0705208,17079663.0629544,79014326.3310595
2022-03-29,1700908,12430364.6913481,26011353.9196383,14389202.6724916,91031656.2859607,12273067.0412479,17897926.882492,83001915.2072179
2022-03-30,1704922,12650038.1304316,27215507.0088793,15121152.7522419,94504540.2829973,12455689.9493516,18441787.6575851,85884175.4984894
2022-03-31,1708906,12971828.2959294,27453574.7937347,15209696.090978,94975609.6851928,12736756.4901883,19092107.5085232,87463963.1793536
2022-04-01,1712970,12900126.8648322,27266240.3885201,15225084.4358752,95055791.7110984,12674706.5782175,18957800.9602811,87023959.2277261
2022-04-02,1717078,13877724.1213458,29392611.8116334,16411345.3401699,102197003.393317,13890553.0283917,20648204.0566902,94220438.3582309
2022-04-03,1721276,13765512.6384452,28762686.707643,16147421.957006,100488123.966203,13538763.4574907,20101757.8012999,92316142.5618848
2022-04-04,1725277,13113962.0431331,26814869.6978486,14834896.7508801,94544631.2959501,13011853.4718995,18544417.9073345,86319999.8710959
2022-04-05,1729249,12982727.8677697,25909704.1898079,14361012.7529262,91056713.1690562,12918023.7111522,18129594.1947132,84301062.7163692
2022-04-06,1733105,12388689.6941317,24751557.0794769,13757432.2097146,86887247.8219645,12343893.5368083,17126108.689538,80367681.2096696
2022-04-07,1736920,12192260.5576673,25924312.6503021,14445680.5211414,90901360.493864,11991153.1213822,19099672.3612566,83653079.2117496
